,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Race/Ethnicity,,,,,,,,,,Income (Optional),,,,,,,,,,Education (Optional),,,,,,,,,,Employment (Optional),,,,,,,,Occupation (Optional),,,,,,,,,,,,,,,Marital Status (Optional),,,,,,,
Country,State/Prov,Total,% of Total,Males,% Male,Females,% Female,Non- Binary,% Non- Binary,Prefer Not To Say,% PNTS,Youth Age Unknown,Under 12,12-13,14-15,16-17,18-19,% Under 20,20-22,23-24,% 20-24,25-27,28-29,% 25-29,30-32,33-35,% 30-35,36-39,40-49,50-59,60-69,70-89,% 36-89,Adult Age Unknown,Lifetime,Adult,College,Youth,Coach & Player,Coach,Coach & Affiliate,Affiliate Player,Affiliate Youth,Recreational Event,Youth-Serving Organization,Friends & Family,American Indian/Alaska Native/Aleutian,Asian,Black/African American,Hawaiian Native/Other Pacific Islander,Hispanic/Latinx,Multiracial,Other Ethnic or Racial Identity,Prefer Not to Answer,White,[BLANK],"Over $200,000","$100,000-$149,000","$15,000-$24,999","$150,000-$199,000","$25,000-$49,999","$50,000-$74,999","$75,000-$99,000","Under $15,000",Prefer not to answer,[BLANK],Current Graduate Student,Current High School Student,Current Undergraduate Student,Did not graduate high school,Graduated College,High School Graduate,Post Graduate Degree,Prefer not to answer,Some College,[BLANK],Employed full-time,Employed part-time,Full-time homemaker,Full-time student,Prefer not to answer,Retired,Unemployed/looking for work,[BLANK],Administrative,Consultant,Education,Entrepreneur,Executive,Government/Military,Homemaker,Manager,Manufacturing,Non-Profit,Professional/Technical,Service,Student,Unemployed,[BLANK],Divorced,Living with a partner/significant other,Married,Prefer not to answer,Separated,Single,Widowed,[BLANK]
US,NJ,1293,2.10%,971,75.10%,317,24.52%,3,0.23%,2,0.15%,0,11,54,164,223,219,51.89%,262,86,26.91%,94,55,11.52%,53,12,5.03%,19,19,17,3,0,4.49%,2,16,190,360,561,33,15,0,43,4,67,0,4,0,268,17,4,47,40,22,123,674,98,26,24,8,11,29,41,19,232,262,641,20,210,266,43,100,7,60,55,18,514,160,69,1,347,104,0,31,581,7,17,33,3,10,3,1,16,6,12,71,15,455,38,606,4,13,74,105,2,494,0,601
US,FL,1090,1.77%,794,72.84%,292,26.79%,2,0.18%,2,0.18%,0,0,2,1,5,101,10.00%,349,146,45.41%,162,85,22.66%,81,43,11.38%,31,44,30,5,0,10.09%,5,13,438,493,5,5,0,0,132,1,3,0,0,1,54,25,2,120,16,12,64,662,134,7,17,24,5,69,57,21,280,157,453,36,3,394,0,138,19,53,16,49,382,216,111,0,251,41,1,53,417,14,15,30,14,2,18,0,19,9,7,86,57,331,39,449,2,15,96,36,0,519,0,422
US,OR,1075,1.74%,712,66.23%,360,33.49%,3,0.28%,0,0.00%,1,0,6,91,168,147,38.42%,162,69,21.49%,92,60,14.14%,75,56,12.19%,45,70,25,6,0,13.58%,2,13,410,246,335,27,19,0,6,15,2,0,2,5,69,8,4,28,34,18,74,772,63,10,38,29,4,61,72,42,229,140,450,15,163,188,9,164,15,113,29,16,363,266,62,4,251,43,3,32,414,17,14,55,9,7,6,2,16,11,23,107,31,319,22,436,7,52,119,41,2,424,1,429
US,MI,1013,1.64%,683,67.42%,326,32.18%,3,0.30%,1,0.10%,0,16,20,42,53,126,25.37%,263,110,36.82%,130,68,19.55%,73,33,10.46%,25,24,11,2,0,6.12%,17,9,226,369,114,13,7,1,222,43,8,0,1,1,55,14,0,17,16,11,40,603,256,6,16,21,2,39,39,26,255,96,513,28,70,283,4,95,10,48,6,27,442,147,101,1,229,33,2,25,475,9,9,19,7,1,5,1,5,21,9,75,23,287,32,510,1,18,47,20,0,438,0,489
US,IN,982,1.59%,741,75.46%,241,24.54%,0,0.00%,0,0.00%,4,4,16,40,98,208,37.68%,273,87,36.66%,71,49,12.22%,40,28,6.92%,26,24,12,0,0,6.31%,2,2,225,399,203,15,4,3,57,70,2,0,2,5,37,20,1,29,12,12,43,752,71,8,15,22,2,60,37,13,236,147,442,25,140,300,3,93,14,34,10,27,336,156,84,2,259,43,3,47,388,5,9,24,9,4,5,2,16,10,11,46,41,353,34,413,6,22,54,30,0,465,0,405
US,MD,897,1.45%,641,71.46%,250,27.87%,4,0.45%,2,0.22%,0,4,7,21,81,130,27.09%,279,98,42.03%,71,46,13.04%,49,27,8.47%,34,26,18,5,0,9.25%,1,10,361,336,151,15,6,0,4,0,11,1,2,1,98,27,1,29,22,11,54,615,39,11,21,11,7,42,53,27,209,144,372,28,96,295,3,99,2,59,9,17,289,168,79,1,233,40,2,33,341,8,10,36,8,1,30,1,10,2,14,72,24,291,28,362,5,18,58,35,1,419,0,361
US,TN,779,1.26%,554,71.12%,218,27.98%,4,0.51%,3,0.39%,0,1,0,40,136,143,41.08%,187,57,31.32%,69,33,13.09%,44,28,9.24%,12,26,3,0,0,5.26%,0,4,230,259,260,14,8,0,2,1,0,1,0,6,40,18,1,15,16,4,49,620,10,3,11,19,2,46,40,10,180,137,331,10,146,202,5,87,9,43,13,12,252,133,77,2,202,48,0,27,290,14,8,30,6,1,6,2,8,6,8,46,33,274,22,315,4,16,58,37,0,369,0,295
US,DC,728,1.18%,388,53.30%,337,46.29%,2,0.27%,1,0.14%,0,0,5,31,53,104,26.51%,233,74,42.17%,80,33,15.52%,45,23,9.34%,24,12,9,2,0,6.46%,0,6,254,321,85,14,4,0,6,0,37,0,1,0,52,9,0,25,20,9,41,522,50,9,22,5,6,28,51,29,139,125,314,13,41,242,0,107,2,66,13,5,239,167,45,1,178,35,0,20,282,6,22,25,3,3,23,1,7,0,40,36,7,230,15,310,2,27,42,19,0,343,0,295
US,IA,636,1.03%,423,66.51%,210,33.02%,2,0.31%,1,0.16%,0,0,1,7,65,155,35.85%,209,61,42.45%,43,30,11.48%,22,14,5.66%,13,9,5,0,0,4.25%,2,3,142,294,171,17,5,0,2,0,0,0,2,2,30,4,0,16,10,6,30,526,12,5,9,9,3,38,23,5,201,89,254,10,90,229,1,67,2,23,8,13,193,96,105,1,164,26,0,23,221,8,2,14,2,1,1,1,7,6,5,44,31,254,12,248,1,11,34,24,0,331,1,234
US,AZ,590,0.96%,379,64.24%,211,35.76%,0,0.00%,0,0.00%,0,0,0,0,0,46,7.80%,143,78,37.46%,93,51,24.41%,67,41,18.31%,38,26,3,2,0,11.69%,2,6,173,214,0,4,0,0,193,0,0,0,0,3,21,5,0,35,12,10,33,305,166,2,12,10,2,29,20,14,140,86,275,17,3,195,0,55,2,50,8,8,252,102,77,3,103,25,0,21,259,3,3,34,4,0,7,2,1,2,6,53,15,155,21,284,2,18,40,21,0,239,0,270
